Ticker,final_prediction,prediction_confidence
EQIX,Sell,0.9159956
SNPS,Sell,0.8910223
ISRG,Sell,0.8658062
FCNCA,Sell,0.84221756
ARGX,Sell,0.6984205
KLAC,Sell,0.6779654
ADP,Sell,0.577773
INTC,Sell,0.5493129
