Ticker,final_prediction,prediction_confidence
BKNG,Buy,1.0
SNY,Buy,0.9999988
MELI,Buy,0.99987817
SMCI,Buy,0.9996086
LRCX,Buy,0.9995535
MPWR,Buy,0.99935406
FSLR,Buy,0.9992779
ORLY,Buy,0.99917847
ASML,Buy,0.99916947
AVGO,Buy,0.99901843
