Ticker,MarketCap
IONS,6656003584
HALO,6619520512
LBTYB,6591830528
LSTR,6586287616
JAZZ,6528850432
RMBS,6521828352
MIDD,6519430656
NSIT,6499440128
FYBR,6492178432
GGAL,6471437824
ZION,6430375424
FRPT,6415654400
EXEL,6396793856
CYTK,6374809600
CHX,6354481664
BPOP,6312218624
CACC,6285608960
LFUS,6257813504
ACHC,6191776768
RVMD,6091282944
MASI,6071811584
WTFC,6058028032
PNFP,6038752768
GLBE,6005031936
FIVE,5973551616
SAIC,5959213056
ALGM,5933666304
MARA,5932871168
OLLI,5932153344
CAMT,5867725824
BOKF,5834091520
CIGI,5831929856
MDGL,5789695488
REYN,5768288256
NOVT,5753433088
CWST,5694022144
TEM,5668606464
BECN,5642791936
MAT,5635686400
SIGI,5581313536
VKTX,5565225984
RRR,5559831552
GRFS,5520217088
LNTH,5514510336
VERX,5500342272
NXST,5498023424
DJT,5495400960
DJTWW,5495393280
CVLT,5477515264
SRCL,5420447744
ONB,5419317248
LYFT,5402651136
VRNS,5352143872
QLYS,5296726016
JSM,5262796800
COOP,5257933824
LANC,5244444160
STEP,5237044736
CRDO,5216542208
BCPC,5179005440
TENB,5148173312
XRAY,5140943872
EXLS,5100553216
KRYS,5070829568
SLMBP,4995075072
SATS,4994981376
MMSI,4988374016
PEGA,4969223168
TMDX,4925114368
ACT,4852458496
SMMT,4836642304
FIZZ,4831535616
FORM,4801517568
AVAV,4791484416
EXPO,4785303040
DOOO,4776789504
ESGR,4743413760
EEFT,4723347456
FCFS,4707850752
RCM,4688568320
OPCH,4686078976
BBIO,4678224896
NUVL,4651267072
BHFAL,4620084224
AVT,4618427904
ACLS,4611482112
OZK,4606289920
PAGP,4604222976
SLM,4587670016
CRSP,4577085440
ITRI,4562629120
FRHC,4562128896
VRRM,4556123648
COLM,4528306688
NVEI,4521551872
AUR,4517862400
LOT,4486759936
PECO,4461358080
PI,4431132672
FELE,4390991872
CRVL,4385478656
TSEM,4383932928
RDNT,4378134528
BGC,4348910080
IBRX,4343047168
UBSI,4311400448
APLS,4297569792
CNXC,4284279552
TIGO,4271140608
LOPE,4257943808
GBDC,4183855616
FFIN,4183812864
NFE,4175103232
CSWI,4174636544
ACIW,4131139328
ALKS,4100224512
COLB,4095433472
PTEN,4069231104
HWC,4042169856
URBN,4031109376
UMBF,4019438336
BRZE,4018331648
POWI,4012072448
RNA,4010084352
AEIS,4004496640
IAC,3998214656
BLKB,3921518592
BHFAP,3873017856
FROG,3869509632
IPGP,3854158336
IMVT,3829916160
CAR,3824231680
AXSM,3809638144
FRSH,3806966784
STNE,3741989888
IQ,3733089024
TRMD,3687661568
CLSK,3680100352
ASO,3674067712
SANM,3673246464
ALVO,3668619520
LITE,3666624000
IPAR,3659656960
RARE,3641787392
OTTR,3625726464
NCNO,3597525760
STRL,3596523520
SMPL,3591878144
WAY,3583190016
MRUS,3567241472
SLAB,3557016576
IBOC,3556524544
SBRA,3555778560
ESGRP,3546119168
VIRT,3506998016
TFSL,3500466432
ESGRO,3499870720
CRNX,3485590016
SYNA,3479729664
GH,3476503296
LLYVK,3459763456
LLYVA,3459762688
WTFCM,3459651328
AXNX,3444769024
ABCB,3442925568
VLY,3411526144
DYN,3390509568
DIOD,3346216448
SRAD,3345765120
WEN,3339565312
SKYW,3331070976
MEOH,3305357056
SHC,3297777152
NEOG,3294607616
OMAB,3294026496
GLNG,3292814848
PRCT,3271607552
IRDM,3256725760
RUSHB,3247817216
RUSHA,3247815168
ALRM,3228137216
OLK,3201832192
ARLP,3201550080
JJSF,3195233536
AMED,3179462400
CORT,3175416064
QFIN,3164076288
FIVN,3163027712
MLCO,3160160512
GT,3151485184
VCTR,3134547456
ARWR,3113693952
VLYPO,3106816256
SHOO,3081150720
KTOS,3074007040
FLNC,3065877760
IOSP,3058804992
CALM,3048220672
DNLI,3037571328
IRTC,3009710080
NWE,3006097920
SGRY,2999418368
IDCC,2994822912
HCM,2991522304
BL,2988253184
VC,2982640640
PCH,2981557504
FULT,2980880128
UCBI,2974950656
ALKT,2949843968
SITM,2937386496
ACVA,2935264768
GDRX,2931342848
ACLX,2927662336
IESC,2918100480
NARI,2907491328
FOLD,2905712384
TGTX,2903863296
FIBK,2897579264
WDFC,2892802304
ICUI,2874700800
ROAD,2871169024
LIVN,2858668288
BANF,2857020672
PENN,2856837888
AGYS,2855785728
PLXS,2854082560
SBLK,2845274880
MQ,2841770752
GOGL,2824395264
TCBI,2821579520
CVCO,2810030848
AZTA,2801086976
TWST,2794848000
WSFS,2793155072
DORM,2784468224
PLTK,2764903424
RIOT,2763672320
SWTX,2761940992
NMIH,2747820032
SIMO,2746397696
MOR,2741848576
CSQ,2739119616
KLIC,2731032576
BHF,2729791744
XENE,2725936384
CCOI,2715461376
INTA,2715459584
MGEE,2706680832
VLYPP,2695886336
RUN,2695422208
STRA,2694384640
PGNY,2690937088
HUBG,2688316416
VECO,2684060672
FTDR,2682987776
IREN,2681025024
CATY,2663514368
MLTX,2653308160
PRFT,2632997120
HOVNP,2629009408
INTR,2624257280
FHB,2623318016
RPD,2615136000
NWL,2603059456
ADMA,2598578688
ENVX,2597600000
ATAT,2589538048
GERN,2586060032
MGRC,2579202048
WBTN,2577054720
ACAD,2575795200
TNDM,2571953920
AY,2558982912
ARCB,2543265792
CARG,2534991360
ASTS,2527641856
IDYA,2519607040
ICFI,2517824512
ZD,2507062272
CLBT,2504623360
BATRA,2504333056
BATRK,2504331520
AVDX,2493673984
RYTM,2488304128
NMRK,2472028160
EBC,2465768960
TRIP,2448542464
LION,2448014592
PATK,2444003584
PSMT,2433692416
SNEX,2431990528
RELY,2396388352
LIF,2395482112
AGIO,2385601536
PTCT,2377597952
BWIN,2367872768
CLDX,2366845952
CVBF,2354330368
PRGS,2352361216
FA,2343495680
OSIS,2338911232
AMBA,2337385984
UCTT,2318491648
ODD,2316180736
