Ticker,final_prediction,prediction_confidence
BKNG,Buy,1.0
SNY,Buy,0.9999993
MELI,Buy,0.9999908
FCNCA,Buy,0.9999907
ASML,Buy,0.99998355
ORLY,Buy,0.99988544
TTD,Buy,0.9998504
LRCX,Buy,0.9998442
TSLA,Buy,0.99981743
AVGO,Buy,0.99981254
