Ticker,MarketCap
HALO,6640520704
LBTYB,6636136960
GGAL,6629552640
LSTR,6606850560
JAZZ,6559435264
RMBS,6538792960
IONS,6538355712
FYBR,6536917504
MIDD,6510827520
NSIT,6472093184
ZION,6471719424
CYTK,6413480448
FRPT,6392649728
EXEL,6385142272
CHX,6344960512
CACC,6337262592
BPOP,6313664512
LFUS,6251617280
ACHC,6167191552
PNFP,6112113664
WTFC,6106813440
RVMD,6092107776
MASI,6090957312
OLLI,6003153408
GLBE,5998352384
SAIC,5970996736
ALGM,5964865536
FIVE,5913523712
CAMT,5882397184
MARA,5865002496
BOKF,5855381504
REYN,5768288256
MDGL,5762416640
NOVT,5760252928
TEM,5734012416
CIGI,5708083712
CWST,5680948224
DJTWW,5674607104
BECN,5671591424
DJT,5610009088
SIGI,5591648256
MAT,5584112128
RRR,5578805760
NXST,5515423232
VERX,5506547200
VKTX,5501270528
LNTH,5498568704
CVLT,5493708800
ONB,5467163136
SRCL,5409312256
LYFT,5402651136
VRNS,5394515456
QLYS,5344008704
GRFS,5331106816
STEP,5275518976
LANC,5274723840
JSM,5260056064
COOP,5237870592
CRDO,5231408640
TENB,5206418432
BCPC,5151121408
XRAY,5148210688
EXLS,5110299136
KRYS,5032846848
MMSI,4996218880
SLMBP,4982016512
SATS,4974610944
PEGA,4966672384
TMDX,4940430336
FIZZ,4889086976
ACT,4868187648
AVAV,4841562624
SMMT,4808563200
EXPO,4790116864
FORM,4778366464
DOOO,4762385920
BBIO,4723135488
FCFS,4720128512
ESGR,4720025088
OPCH,4713890304
EEFT,4713714176
RCM,4652761600
NUVL,4644811264
ACLS,4643363840
AVT,4634696704
OZK,4631213568
PAGP,4627487744
SLM,4618430464
BHFAL,4601677824
FRHC,4587592192
CRSP,4568593408
VRRM,4562784768
ITRI,4562170368
COLM,4542497280
AUR,4517862400
NVEI,4514270208
PECO,4459316224
TSEM,4431222272
PI,4428361216
FELE,4389609472
CRVL,4382217216
RDNT,4355962880
BGC,4351412224
UBSI,4338439680
IBRX,4332673536
LOT,4331110400
CNXC,4328434176
APLS,4294535680
TIGO,4260013312
LOPE,4230837248
FFIN,4210952448
GBDC,4198355456
CSWI,4161119488
NFE,4157672448
ACIW,4134291968
COLB,4131027968
ALKS,4100224512
HWC,4067292928
PTEN,4065213952
POWI,4038751488
UMBF,4037985792
URBN,4029241344
RNA,4005773568
IAC,4002519552
AEIS,4001875712
BRZE,3992924928
BLKB,3941136384
FRSH,3875695360
IPGP,3868284416
FROG,3865173248
BHFAP,3854780160
CAR,3831361280
IMVT,3807988992
AXSM,3776718848
STNE,3731174912
IQ,3723492352
ASO,3709409280
ALVO,3700323840
TRMD,3685658624
CLSK,3675542784
LITE,3674066944
SANM,3664374016
IPAR,3647488000
RARE,3628202240
NCNO,3620542464
OTTR,3620290816
STRL,3593745920
WAY,3591522816
IBOC,3575177472
SMPL,3574354432
SLAB,3564359424
SBRA,3549991168
TFSL,3520115968
ESGRP,3519396352
MRUS,3516713984
SYNA,3506587904
CRNX,3505699328
VIRT,3498352384
ESGRO,3494907392
WTFCM,3468158720
LLYVA,3463681792
LLYVK,3458878976
GH,3458148096
ABCB,3454673920
AXNX,3447320064
VLY,3429347584
DYN,3393990656
OMAB,3378882048
DIOD,3358208256
WEN,3347770368
SRAD,3336797440
GLNG,3309545472
SKYW,3305103616
NEOG,3294607616
SHC,3292115968
MEOH,3288510208
RUSHB,3287841792
PRCT,3256694784
RUSHA,3255556096
IRDM,3242154496
ARLP,3222039808
ALRM,3217095680
QFIN,3208302080
JJSF,3207058944
OLK,3202453760
