Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-02 00:00:00-05:00,727.2123810139216,727.9794601053566,711.4129594928863,714.1823120117188,1368700,0.0,0.0
2024-01-03 00:00:00-05:00,697.9245793979763,703.9415532334623,696.928398119474,700.6840209960938,952000,0.0,0.0
2024-01-04 00:00:00-05:00,695.334550393335,706.8006069340281,694.8464312825668,697.6157836914062,752100,0.0,0.0
2024-01-05 00:00:00-05:00,698.0840100535806,707.0794954793336,696.9284057087689,700.6541748046875,579200,0.0,0.0
2024-01-08 00:00:00-05:00,709.9286141855791,718.0873413085938,709.1913889639333,718.0873413085938,835300,0.0,0.0
2024-01-09 00:00:00-05:00,707.9561370462394,716.3240841641432,707.9561370462394,713.2160034179688,587000,0.0,0.0
2024-01-10 00:00:00-05:00,713.7339835890265,717.2505327470769,705.3361825643625,715.0489501953125,506400,0.0,0.0
2024-01-11 00:00:00-05:00,717.7386091220699,721.424491856326,705.9239142535547,715.7861328125,603900,0.0,0.0
2024-01-12 00:00:00-05:00,709.8886819411921,712.8174571491401,706.9101098328455,710.496337890625,580500,0.0,0.0
2024-01-16 00:00:00-05:00,705.286424507128,708.5837823447085,699.817398622031,703.8021240234375,913100,0.0,0.0
2024-01-17 00:00:00-05:00,703.2542364328829,710.4466365973366,693.4219313691946,709.5501098632812,835100,0.0,0.0
2024-01-18 00:00:00-05:00,721.9126544375215,745.4125979679109,721.9126544375215,741.6868896484375,2230400,0.0,0.0
2024-01-19 00:00:00-05:00,745.6417075813406,756.5697873237526,741.9359423078192,754.9360961914062,1795600,0.0,0.0
2024-01-22 00:00:00-05:00,763.4733591587885,773.5646804137541,762.6066863072595,763.7522583007812,1418600,0.0,0.0
2024-01-23 00:00:00-05:00,763.1246380669556,775.696440638165,759.6280321343309,775.4175415039062,1800700,0.0,0.0
2024-01-24 00:00:00-05:00,823.702421896715,861.2883821748838,823.3438112356812,844.0743408203125,7754300,0.0,0.0
2024-01-25 00:00:00-05:00,865.6815189429993,879.9070165865774,859.694459814382,865.76123046875,3449500,0.0,0.0
2024-01-26 00:00:00-05:00,860.2523058883501,869.8654792673373,849.9518258171685,864.436279296875,1614800,0.0,0.0
2024-01-29 00:00:00-05:00,864.2670272326999,880.0465056684872,861.8961107704151,879.2495727539062,1034500,0.0,0.0
2024-01-30 00:00:00-05:00,870.7122409932626,874.3781808300208,859.3159246476984,864.7152709960938,895600,0.0,0.0
2024-01-31 00:00:00-05:00,857.9312175490326,880.6242564186659,856.177989560227,866.4984130859375,1251200,0.0,0.0
2024-02-01 00:00:00-05:00,878.9507010405197,890.3669607458315,873.3122807747968,887.1392822265625,1040200,0.0,0.0
2024-02-02 00:00:00-05:00,875.8824761608925,889.6397381050093,875.7330854403739,887.2588500976562,896400,0.0,0.0
2024-02-05 00:00:00-05:00,883.762083966775,900.048222269412,879.271422847211,896.6752319335938,950100,1.556,0.0
2024-02-06 00:00:00-05:00,896.9346968151953,903.8802745662593,889.0011833690055,903.0120849609375,1409500,0.0,0.0
2024-02-07 00:00:00-05:00,903.4111938561148,925.8644987143606,903.1816906749466,920.3160400390625,1492200,0.0,0.0
2024-02-08 00:00:00-05:00,915.6857245480128,925.8046344091846,909.0195341543775,921.0245971679688,1150800,0.0,0.0
2024-02-09 00:00:00-05:00,934.7460913605024,952.3395087258237,929.7764458362811,947.6292724609375,1588800,0.0,0.0
2024-02-12 00:00:00-05:00,937.7098804169242,944.515734061019,925.4254300109196,927.2816162109375,1033600,0.0,0.0
2024-02-13 00:00:00-05:00,889.0011602991674,913.9892328035837,887.1650130308321,901.4453125,1297200,0.0,0.0
2024-02-14 00:00:00-05:00,912.8815588624944,923.828763256366,911.5044179452096,922.521484375,1206400,0.0,0.0
2024-02-15 00:00:00-05:00,927.1519068303392,932.8101228829382,917.4321298981049,927.9103393554688,884300,0.0,0.0
2024-02-16 00:00:00-05:00,930.7942585708266,946.5515281019269,923.8087858762303,927.0121459960938,1160400,0.0,0.0
2024-02-20 00:00:00-05:00,916.6936013793119,918.0707423324667,896.6453283454894,907.682373046875,1044100,0.0,0.0
2024-02-21 00:00:00-05:00,895.5875160131538,906.7842016837469,890.7775117477948,906.3251953125,870700,0.0,0.0
2024-02-22 00:00:00-05:00,944.9548114399398,957.4688257828798,939.2467115637476,949.8745727539062,1780800,0.0,0.0
2024-02-23 00:00:00-05:00,950.303768824292,952.5790054828942,930.8541651297886,931.313232421875,879000,0.0,0.0
2024-02-26 00:00:00-05:00,939.5560750135991,949.7448470128131,934.2570974002585,945.6234741210938,671300,0.0,0.0
2024-02-27 00:00:00-05:00,951.022251116258,955.7723824936347,938.408468130844,939.4163818359375,807500,0.0,0.0
2024-02-28 00:00:00-05:00,937.09116465615,941.5419306326193,933.1593390012705,937.5502319335938,519700,0.0,0.0
2024-02-29 00:00:00-05:00,937.5502407113756,950.4733775521605,936.4724649981713,949.7049560546875,777600,0.0,0.0
2024-03-01 00:00:00-05:00,949.605183137643,989.3924352183886,948.297904244437,988.8834838867188,1697800,0.0,0.0
2024-03-04 00:00:00-05:00,990.5400371720095,1005.5887587679483,985.7001267193199,995.96875,1433000,0.0,0.0
